(453.6514399711133, 382.9109031175036, 604.0693101088168)
(453.6514399711133, 382.9109031175036, 604.0693101088168)
(444.78775447258727, 383.6808696310042, 620.5001144697432)
(439.34863342061107, 370.34018640840407, 624.2539137070124)
(456.4206952817143, 363.07542340932764, 628.513760688198)
(453.1903822624075, 367.4455548810138, 655.5382777547195)
(434.00445020770076, 370.3090892102008, 643.1943391424255)
(439.3121780972507, 373.0083930320616, 676.1817385015136)
(435.8787163614982, 383.7779081570314, 694.8702249137216)
(443.5446162180127, 399.5925595698819, 703.2606615920567)
(470.34918205042464, 397.80810927243147, 696.1403551521234)
(487.30192925276555, 399.5219460877058, 681.6427158941451)
(499.023124795299, 419.5004095279566, 682.4663511033617)
(485.47486863758144, 432.7768531756201, 689.5922856697706)
(478.7356587373753, 440.95334291537836, 673.2276932709676)
(472.78386776037513, 455.57191613628936, 680.645472509174)
(494.8322042248372, 458.39520929576895, 677.919848943123)
(496.5006415667208, 453.56472944409825, 660.4745612367994)
(498.98231660694995, 439.7190225822209, 660.9854383915696)
(486.1296844556112, 440.7378850107948, 645.5719049977652)
(498.1232050549609, 428.92348169306644, 642.4360306954595)
(496.3775510959441, 442.79483949290784, 628.9308045685075)
(488.96261909225024, 456.8176534521247, 639.5166731284805)
(499.8978109080608, 473.5527226068347, 658.0956852802722)
(494.615937983864, 495.2097082075809, 647.0595414851098)
(496.3117321487866, 499.3743640162661, 665.0439723976383)
(492.74691550124834, 498.1110769059903, 679.8984663906926)
(461.1951929927133, 497.08997518960524, 694.1356223980358)
(461.32773333454264, 479.1803952212387, 682.2013068604099)
(464.05177400407473, 467.85294272832834, 701.7543799248867)
(449.32723090204337, 452.99434867271066, 690.0323074075616)
(455.71129536949326, 439.9782526228115, 686.3401043215937)
(457.4965643672899, 436.9012049983775, 660.6149294153304)
(444.4921471247082, 415.74221935307094, 669.1825928681875)
(436.8873879506424, 398.2177732996586, 668.9650619696324)
(421.5683306854154, 404.00545129617154, 653.1383404033786)
(425.78383308793644, 426.8122652874899, 650.6692758159159)
(401.6315195073724, 434.4599349368868, 681.180869138746)
(399.534416293549, 452.50913755117045, 672.3843978671667)
(419.2656669892746, 485.08327619918043, 682.3688308719557)
(406.5913696947475, 499.4754866142689, 675.463764209329)
(419.89851226023023, 497.83136422628036, 699.7797408413472)
(434.35973053622655, 497.7615808252908, 721.5289916151573)
(416.6752877781302, 461.50678386625856, 731.7428793444276)
(426.65224820267116, 446.5853315430562, 737.7176052603569)
(422.1557500989243, 426.79826396428194, 730.3181716852318)
(434.6683449088012, 429.07165451074167, 723.4357912215849)
(432.23948172986815, 425.1911983889937, 710.5171568988969)
(432.78320460499646, 455.6125367153154, 715.9468355200831)
(417.8713126675393, 417.5430580017038, 744.6664370129997)
(433.5846656375887, 366.0307727522377, 723.6905534079048)
(417.63509249715196, 354.5243103375978, 737.3158707440093)
(411.7878085223016, 330.2725565958099, 729.3356779439144)
(421.2171165521007, 319.9320152091744, 742.3453388317903)
(415.68070776000343, 303.4023512476829, 718.2857184165034)
(409.0757035786, 292.2602788043057, 703.2275427819444)
(428.5520512585823, 283.4982217010002, 686.1289025522375)
(443.35451506923937, 266.42877062354137, 674.7769482437333)
(436.3411288272029, 250.35571571125726, 668.8565003752141)
(438.1874830845845, 237.84753414466135, 655.0309898318642)
(461.6311003321769, 232.85381291528589, 670.7414895970445)
(472.8586588740389, 242.48364454984895, 671.4826483770197)
(461.5420937978355, 254.78411071412333, 677.4926643205293)
(472.7315115583112, 266.3007743777543, 675.6855165311907)
(460.8360321238451, 277.11171580884684, 681.4698829822114)
(453.4349317215257, 299.90171254647936, 675.0028629130023)
(452.62065380098915, 301.83695741658454, 693.4269790452637)
(467.4279900985594, 314.32589146952864, 689.4211099996306)
(471.04286025000283, 327.19952741304905, 681.977134425712)
(453.1662075330018, 321.89053883987225, 684.040290716286)
(447.8658671271938, 328.5490502964428, 670.3870769779093)
(439.3473227929774, 323.36444700857805, 657.6692946442511)
(426.2603993852285, 330.2232225879414, 676.6983118601925)
(408.8058648105456, 320.1436805584145, 688.8423910454567)
(405.45227554653854, 303.8679622862102, 677.0862904577041)
(395.33490962219764, 288.2813520072926, 676.0666438958293)
(409.5823116234893, 262.7883137357558, 669.3655648815164)
(403.4102553570605, 251.99120264934365, 690.663070069326)
(427.5859084667263, 244.71689194057083, 694.8968257937544)
(446.7550663821753, 256.51930448677075, 704.288792066602)
(471.7985680783627, 256.23666588911334, 707.7307309714944)
(458.04921511952773, 219.4722626699252, 691.6316400632293)
(440.6050700721299, 216.55497715349648, 696.4473300426208)
(448.4229349068125, 202.92247142933817, 708.5886328388201)
(442.58851428019045, 185.25208878739258, 709.4015394225105)
(432.70689278121375, 166.03582376354768, 709.8911988590787)
(449.82964856703074, 161.82939478124143, 697.8577321961795)
(465.3913748087681, 167.11556035364688, 678.9876293681207)
(485.4895438170442, 161.50946710749875, 670.913515580351)
(484.29750708307705, 142.5805054351482, 671.1293736393509)
(469.0530166915801, 128.9986072095274, 675.3730509326786)
(481.0773299953074, 115.68677249240916, 670.2471744768455)
(495.6919919760064, 108.19907468001556, 667.5219811242291)
(483.28936082643065, 89.77559349034331, 659.5659541018266)
(487.7929790735311, 83.45436570640963, 679.1184958442194)
(468.3211690663934, 92.07800201713412, 684.5960849955675)
(464.28652138628973, 107.31887592444211, 678.8094361243739)
(449.2737583184652, 110.55359587945507, 671.8101869092687)
(454.88016879589344, 120.63915619963156, 686.3173529207284)
(443.71976469540306, 129.00619819813264, 668.5600907097232)
(442.3279279484523, 92.40040258254601, 664.4454280708894)
(421.2974855473219, 88.27404703341507, 654.6536302415057)
(410.89313614402863, 99.97025929050912, 679.8435512064009)
(396.82588280144154, 85.19450091048869, 671.8277428758952)
(411.5450168802257, 75.16474423128489, 689.9091547325306)
(429.3841458264129, 73.82578131037803, 707.30378608342)
(447.99099735737576, 82.25884188630644, 701.5764666845164)
(445.67332656167605, 60.93768889757833, 692.7962482849363)
(442.65525827992343, 46.62567899915238, 699.7536166642841)
(441.33724724554406, 50.16067926790008, 715.5546882178135)
(435.8036313274683, 62.29897011948948, 731.0609122551958)
(437.4108435235847, 82.63512538948476, 734.4021861631411)
(423.0613168601865, 108.90281426451331, 731.651724948985)
(396.0913255610213, 101.77469583932869, 700.1077671535411)
(403.9587122695086, 123.78399977416349, 694.5982021204526)
(402.0623177236603, 141.28404804254396, 684.2689965849193)
(395.88804705910917, 133.98177089092002, 662.0650048046939)
(381.26584300497257, 123.353714507418, 666.1205591314872)
(397.75869182493204, 111.5348658218509, 659.1270302379701)
(391.1245820044827, 123.5605929425615, 633.8091263704742)
(383.1770289703083, 144.35129491816446, 636.6843147829431)
(392.3641197424431, 165.49351662559548, 646.1835372782049)
(412.61935652333847, 169.8747659397611, 656.1918466248021)
(403.2902760159439, 168.4543953932675, 687.2035592466547)
(387.89654295854433, 170.3748318435812, 677.8377503165433)
(408.53495725309745, 197.02220623648276, 682.638897236368)
(411.35173070866557, 204.72885056644498, 660.9716214781553)
(390.5363700958137, 213.08729252956664, 654.7398336772408)
(393.4216468908442, 188.04324968730918, 635.0790066688462)
(433.954847054754, 210.3117307543238, 675.4917010375017)
(470.6893112050476, 211.1570780388854, 680.4101577290135)
(489.8068651747657, 210.05512336315036, 668.340882542392)
(491.0019128274896, 228.27037181164178, 674.1728460022933)
(499.0735938569276, 257.4109293343516, 669.2999999367443)
(487.9629696961708, 284.3690854878014, 665.0379714949224)
(477.37800595983686, 299.46531196101745, 666.0063148704011)
(492.7000797246073, 302.705355135064, 663.2626670370034)
(476.44045273211776, 317.00579267407505, 665.9814486530399)
(494.6029002786812, 325.805018846647, 671.4231670322864)
(493.19328100098915, 314.44928659335585, 644.2361103577871)
(499.44543079940877, 315.11691060823364, 625.0256930348585)
(486.01259157904036, 302.8009849993607, 627.2709679438854)
(475.209147576959, 298.1740067628834, 645.5794566882566)
(453.150470962795, 300.3837561753015, 652.8217596764316)
(458.72865757937257, 261.8403955161378, 635.8766316100841)
(467.78516963821255, 238.62404999253545, 645.5473452273657)
(467.4377424013757, 199.97649356617825, 626.5565276834025)
(462.5152951296329, 192.07081204930765, 613.3700863250739)
