(132.8709178896193, 300.8460596592731, 360.3044002359789)
(132.8709178896193, 300.8460596592731, 360.3044002359789)
(144.01443980084116, 300.54525050605565, 386.34995474342065)
(129.26560825920953, 288.50188361902207, 387.08499795661027)
(128.17855169472514, 300.43306665479184, 414.4667709837738)
(125.73294563829695, 321.4264279019393, 415.5834391562041)
(116.40074191889987, 312.7420538056285, 429.7373947725273)
(121.89380488043933, 308.2909028009077, 442.7645287230891)
(112.3798293919634, 319.5979091644633, 443.37835634088367)
(122.7760953679608, 333.32003541752897, 445.13551316107066)
(124.75677486360892, 349.3016829981659, 452.17041917043366)
(123.89111718028734, 355.28746921599964, 434.2731324975956)
(125.29205226276791, 369.33937415469967, 421.20402627243493)
(149.41640665731032, 378.071836172343, 422.6828294821473)
(170.65253641974547, 363.11100805354033, 425.842039678578)
(161.5435627371727, 361.06648375753895, 450.1203019386638)
(150.57940558889922, 352.6756334316561, 449.18710509452137)
(157.00177123937493, 345.00888140918573, 462.5247175872445)
(163.1441430386088, 330.1696298640441, 454.7917736449566)
(170.9084065243201, 326.64180558410783, 475.6209682055216)
(182.0142888531372, 315.0518867839124, 466.9062006962744)
(167.78156315285096, 301.9770079306494, 478.0563965132373)
(164.32788620564975, 286.4506698414971, 465.00591075020617)
(167.2764380555165, 266.7546305913241, 479.6941713078145)
(182.53200279914063, 270.5181238498646, 481.5248947957523)
(182.16868801173825, 262.4389635900211, 506.137547032569)
(172.8736787381426, 248.1885878276321, 510.75867303638904)
(188.59343439986748, 243.87759056875586, 499.39105333154566)
(191.24166160643847, 237.10642414284916, 516.4165198175878)
(196.12726364770478, 250.82293689192113, 516.477221890466)
(200.77675217747364, 260.4371459280333, 526.758153914295)
(213.7938579677347, 267.8018768536308, 523.8360777237363)
(221.66313255604396, 271.81533307912815, 512.8330032288976)
(230.24406684681992, 269.7805591831119, 524.7253600544709)
(243.16489264219084, 266.33562000607685, 513.044136757035)
(249.14121578439068, 279.57611839832174, 510.2131311149866)
(248.73859731080373, 295.74627101286717, 523.7969186832852)
(257.9048217179724, 285.8811662443596, 530.6738051985961)
(268.8098555553476, 275.0561473686584, 530.8638973998723)
(265.62971512019675, 260.051611692587, 519.847575194184)
(259.79773373126886, 252.7683617306577, 509.20685443176944)
(244.9466212400722, 240.8672213628899, 521.3378560080652)
(252.5366552765607, 233.37012483328434, 532.1232122552235)
(265.617169680695, 223.03572013196614, 523.1928566118528)
(261.4015548640151, 206.14866818629528, 531.9276252057092)
(236.92194947663185, 212.08398720291794, 532.3893703356908)
(232.31434798721506, 228.2798798161375, 530.6165648133519)
(214.9059237514132, 238.6541480129477, 526.9622399643723)
(215.2712117999368, 253.74616700256203, 524.7432912928032)
(226.07656998634178, 248.1724883372526, 531.2261362341808)
(224.6636557481917, 240.0748955920372, 511.7042509108668)
(215.18232164146195, 238.1844772722652, 500.4338616978969)
(225.54038342389825, 243.96412314165477, 491.72190494382636)
(221.72534599421584, 255.69992764581085, 487.2375917897183)
(226.97489697022482, 255.34225480436467, 510.45241390765557)
(249.18604340215083, 254.68803567996767, 531.0502082741144)
(284.5470594623027, 263.54789557106005, 519.2157860092686)
(291.22765634771736, 266.34951361643493, 507.12166484284285)
(295.4233088525538, 270.48485777340017, 489.476468265114)
(292.49434427535425, 285.25268904900037, 475.31531269862)
(293.6738021233527, 261.4569494313446, 461.9996906662184)
(299.18296855784104, 257.9602490582295, 445.74232704199505)
(301.544696379433, 269.173725641505, 438.6320230915315)
(300.90876298723714, 276.5771324297043, 425.29640488485495)
(300.69888850563444, 295.73221872212787, 424.640112595799)
(303.84951866278936, 298.6687967195037, 407.1199835598843)
(313.8809712914286, 323.55397704272355, 386.6659723563476)
(315.45370983994655, 338.000883503297, 419.5167220336715)
(336.65554591872365, 348.7667332034687, 416.3801445553196)
(348.0067171645172, 363.14811885602313, 426.15788587797226)
(351.94988450305544, 373.27237226391264, 433.07437376288976)
(355.8533125332679, 363.278676082166, 442.88985801824276)
(354.9459025297032, 393.45566747064873, 454.24785119235435)
(367.702798299123, 407.6420227462358, 456.8695788274119)
(375.6588156896431, 389.16758049225433, 447.7965926820364)
(374.4269270558369, 402.1567217945224, 429.4640905438026)
(381.02052653905247, 403.9826415710671, 414.4809440408013)
(360.5076737183872, 402.65918020447907, 412.69056135436756)
(350.33506369834413, 392.3385467892322, 412.6789164253263)
(340.6687901019091, 388.16121333507294, 401.8020390933979)
(341.22000334379146, 360.6075888190008, 395.11252822625875)
(344.3591512424209, 340.5678654861219, 396.50899134012116)
(377.80384593682385, 336.33152527275104, 426.0374965630989)
(397.55682788447695, 332.8038368912173, 451.74706431839536)
